,价格,面积,编号,户型,楼层,位置1,位置2,小区,地铁
0,1330.0,9.0,38738-A,3室1卫,9/11层,房山区,良乡大学城西,紫汇家园,地铁：距房山线良乡大学城西站550米
1,5810.0,39.0,64752-A,1室1卫,9/12层,东城区,广渠门内,绿景苑,地铁：距7号线广渠门内站650米
2,4820.0,36.0,65359-A,1室1卫,1/6层,东城区,景泰,定安里,地铁：距14号线东段景泰站450米
3,1850.0,9.0,185-B,4室2卫,2/27层,朝阳区,管庄,京通苑阳光华苑,地铁：距八通线管庄站500米
4,9000.0,116.0,17830-A,2室1卫,8/16层,朝阳区,十里堡,天天朝阳,地铁：距6号线十里堡站850米
5,1720.0,9.0,30651-B,4室1卫,10/28层,通州区,土桥,华远铭悦,地铁：距八通线土桥站950米
6,1790.0,10.0,81486-C,5室2卫,1/6层,朝阳区,八里桥,西马庄园,地铁：距八通线八里桥站1150米
7,5140.0,49.0,23104-A,1室1卫,2/18层,丰台区,海户屯,西罗园南里,地铁：距8号线南段海户屯站650米
8,2260.0,13.0,9832-B,3室1卫,8/16层,朝阳区,管庄,众亿嘉园,地铁：距八通线管庄站800米
9,4400.0,56.0,16256-A,1室1卫,8/22层,通州区,物资学院路,悦澜水岸家园,地铁：距6号线物资学院路站2350米
10,2700.0,9.0,73992-B,2室1卫,11/12层,丰台区,刘家窑,南三环东路,地铁：距5号线刘家窑站150米
11,2320.0,9.0,2331-A,3室1卫,3/26层,朝阳区,高碑店,金隅汇星苑,地铁：距6号线青年路站1450米
12,2700.0,10.0,8123-D,4室1卫,4/13层,朝阳区,青年路,青年汇佳园,地铁：距6号线青年路站250米
13,2590.0,10.0,22010-C,4室2卫,22/26层,朝阳区,四惠东,都市经典家园,"地铁：距1号线,八通线四惠东站700米"
14,1470.0,11.0,23724-A,3室1卫,2/6层,通州区,通州北关,刘庄新村,地铁：距6号线通州北关站2700米
15,1860.0,9.0,25745-C,3室1卫,16/22层,朝阳区,东坝中街,北京城建福润四季,地铁：距3号线东坝中街站2800米
16,3440.0,18.0,124815-E,6室2卫,9/9层,朝阳区,朝阳门,大方家胡同,"地铁：距2号线,6号线朝阳门站650米"
17,1790.0,10.0,19708-A,5室1卫,20/20层,通州区,九棵树,龙湖蔚澜香醍,地铁：距八通线果园站1050米
18,7360.0,88.0,29612-A,2室1卫,4/28层,朝阳区,潘家园,潘家园南里,地铁：距10号线潘家园站950米
19,1450.0,12.0,146745-C,3室1卫,5/6层,房山区,良乡大学城西,鸿顺园西区,地铁：距房山线良乡大学城西站350米
20,1740.0,11.0,33621-A,3室1卫,6/6层,顺义区,石门,前进花园石门苑,地铁：距15号线石门站800米
21,2460.0,11.0,68894-B,3室1卫,21/29层,朝阳区,青年路,金隅泰和园,地铁：距6号线青年路站1250米
22,5170.0,47.0,64760-A,1室1卫,4/24层,丰台区,木樨园,珠江骏景北区,地铁：距8号线南段木樨园站550米
23,1910.0,10.0,59863-A,4室1卫,8/15层,朝阳区,管庄,远洋一方润园6号院,地铁：距八通线管庄站700米
24,4400.0,44.0,79816-A,1室1卫,26/28层,通州区,通州北关,财富东方,地铁：距6号线通州北关站800米
25,1950.0,13.0,69100-B,5室2卫,22/24层,朝阳区,八里桥,长桥园公寓,地铁：距八通线八里桥站650米
26,5480.0,46.0,11023-A,1室1卫,5/6层,朝阳区,平乐园,平乐园,地铁：距14号线东段平乐园站450米
27,6100.0,55.0,15366-A,1室1卫,6/21层,丰台区,刘家窑,筑梦园,地铁：距5号线刘家窑站350米
28,1800.0,9.0,23736-B,3室1卫,4/20层,朝阳区,东坝中街,金驹家园,地铁：距6号线褡裢坡站4200米
29,2140.0,11.0,11735-E,8室3卫,1/3层,朝阳区,双桥,水郡长安,地铁：距八通线双桥站800米
30,3420.0,10.0,807-C,4室1卫,14/16层,朝阳区,朝阳门,朝内小区,"地铁：距2号线,6号线朝阳门站300米"
31,7010.0,42.0,142974-A,1室1卫,7/15层,海淀区,魏公村,私摩空间,地铁：距4号线大兴线魏公村站1050米
32,2160.0,8.0,18862-C,3室1卫,14/29层,朝阳区,北岗子,恒大华府,"地铁：距12号线,平谷线北岗子站700米"
33,4260.0,68.0,39378-A,1室1卫,4/6层,通州区,临河里,群芳园,地铁：距八通线临河里站1200米
34,6790.0,57.0,50439-A,1室1卫,8/8层,朝阳区,百子湾,沿海赛洛城,地铁：距7号线百子湾站650米
35,1740.0,11.0,52110-A,3室1卫,3/6层,顺义区,石门,前进花园石门苑,地铁：距15号线石门站800米
36,8880.0,49.0,61851-A,1室1卫,6/9层,东城区,东四十条,东外公馆,"地铁：距2号线,3号线东四十条站750米"
37,4550.0,42.0,121692-A,1室1卫,1/26层,朝阳区,草房,住欣家园,地铁：距6号线草房站450米
38,2890.0,13.0,1016-B,3室2卫,5/11层,朝阳区,高碑店,美丽亚洲假日花园,地铁：距八通线高碑店站650米
39,1900.0,10.0,124667-A,2室1卫,4/6层,通州区,梨园,葛布店东里,地铁：距八通线梨园站700米
40,8810.0,48.0,141534-A,1室1卫,23/34层,朝阳区,大望路,阳光100,"地铁：距1号线,14号线东段大望路站400米"
41,2140.0,9.0,12952-B,3室1卫,2/27层,朝阳区,褡裢坡,泰福苑二区,地铁：距6号线褡裢坡站700米
42,11260.0,76.0,144657-A,2室1卫,20/28层,海淀区,知春路,碧兴园,"地铁：距13号线,10号线知春路站250米"
43,9730.0,86.0,145264-A,2室1卫,2/28层,朝阳区,大郊亭,后现代城,地铁：距7号线大郊亭站650米
44,9730.0,88.0,146846-A,1室1卫,16/38层,朝阳区,大望路,soho现代城,"地铁：距1号线,14号线东段大望路站250米"
45,8130.0,61.0,148064-A,2室1卫,1/6层,海淀区,圆明园,厢白旗甲1号院,地铁：距4号线大兴线圆明园站1850米
46,4150.0,84.0,148207-A,2室1卫,4/6层,顺义区,顺义,双兴南区,地铁：距15号线顺义站1000米
47,9680.0,103.0,149586-A,2室1卫,19/28层,朝阳区,双井,百环家园,"地铁：距7号线,10号线双井站550米"
48,6530.0,41.0,150152-A,1室1卫,9/17层,海淀区,魏公村,私摩空间,地铁：距4号线大兴线魏公村站1050米
49,10550.0,93.0,147896-A,2室1卫,16/32层,朝阳区,大望路,soho现代城,"地铁：距1号线,14号线东段大望路站250米"
50,2970.0,15.0,30570-B,3室1卫,4/6层,朝阳区,东风北桥,酒仙桥三街坊,"地铁：距14号线东段,平谷线东风北桥站1350米"
51,2200.0,10.0,305-A,4室2卫,6/10层,朝阳区,常营,优点社区,地铁：距6号线常营站1050米
52,2180.0,12.0,71239-A,3室1卫,7/11层,朝阳区,孙河,康营小区6区,地铁：距15号线孙河站1050米
53,2260.0,8.0,129109-B,4室1卫,11/22层,丰台区,角门东,首座绿洲,地铁：距10号线角门东站750米
54,1260.0,7.0,46743-A,3室1卫,1/6层,顺义区,俸伯,彩俸南区,地铁：距15号线俸伯站1450米
55,2620.0,7.0,55179-A,2室1卫,22/24层,西城区,湾子,太平桥东里,地铁：距7号线湾子站550米
56,7480.0,71.0,145647-A,2室1卫,3/7层,朝阳区,四惠,慈云寺,"地铁：距1号线,八通线四惠站900米"
57,1330.0,14.0,47235-A,5室1卫,11/15层,房山区,良乡大学城西,瑞雪春堂,地铁：距房山线良乡大学城西站900米
58,1900.0,10.0,6843-C,5室1卫,6/6层,朝阳区,黄渠,常营民族家园CDF区,地铁：距6号线黄渠站750米
59,2190.0,11.0,118035-A,3室1卫,1/9层,顺义区,花梨坎,吉祥花园,地铁：距15号线花梨坎站450米
60,7760.0,65.0,9215-A,1室1卫,8/28层,朝阳区,东湖渠,博雅国际,地铁：距14号线东段东湖渠站400米
61,9660.0,88.0,146817-A,1室1卫,16/38层,朝阳区,大望路,soho现代城,"地铁：距1号线,14号线东段大望路站250米"
62,1290.0,12.0,27023-A,5室2卫,1/2层,房山区,阎村,天恒乐活城,地铁：距燕房线阎村站200米
63,1810.0,10.0,43394-C,4室1卫,2/5层,大兴区,西红门,宏盛家园,地铁：距4号线大兴线西红门站900米
64,3080.0,8.0,67620-B,2室1卫,11/11层,东城区,安定门,安外西河沿,地铁：距2号线安定门站300米
65,2350.0,9.0,132379-B,3室1卫,20/26层,朝阳区,褡裢坡,泰福苑二区,地铁：距6号线褡裢坡站700米
66,1490.0,11.0,34125-C,3室1卫,3/6层,通州区,通州北关,刘庄新村,地铁：距6号线通州北关站2700米
67,2580.0,10.0,34115-A,2室1卫,5/5层,东城区,景泰,永定门东街东里,地铁：距14号线东段景泰站900米
68,2490.0,12.0,36489-B,2室1卫,3/6层,石景山区,八角游乐园,八角中里,地铁：距1号线八角游乐园站900米
69,3960.0,51.0,37476-A,1室1卫,1/13层,通州区,北运河西,京艺天朗嘉园,地铁：距6号线北运河西站1300米
70,7460.0,93.0,144428-A,2室1卫,16/28层,朝阳区,北工大西门,周庄嘉园C区,地铁：距14号线东段北工大西门站1300米
71,2440.0,10.0,48376-C,4室1卫,7/27层,丰台区,方庄,芳城园一区,地铁：距14号线东段方庄站550米
72,1660.0,9.0,67429-B,2室1卫,1/6层,顺义区,顺义,胜利小区,地铁：距15号线顺义站700米
73,1580.0,10.0,78052-B,3室1卫,4/5层,顺义区,顺义,建新北区,地铁：距15号线顺义站700米
74,2260.0,11.0,1147-A,7室3卫,1/8层,朝阳区,黄渠,柏林爱乐二期,地铁：距6号线黄渠站850米
75,1680.0,10.0,32835-A,3室1卫,5/6层,朝阳区,八里桥,西马庄园,地铁：距八通线八里桥站1150米
76,2080.0,11.0,4563-A,3室1卫,5/6层,朝阳区,孙河,康营小区,地铁：距15号线孙河站1000米
77,1850.0,14.0,447-E,8室2卫,6/6层,昌平区,天通苑南,天通苑东一区,地铁：距5号线天通苑南站1650米
78,3010.0,13.0,72888-B,2室1卫,4/6层,海淀区,田村,玉海园一里,地铁：距6号线田村站800米
79,2000.0,16.0,133781-B,4室1卫,3/6层,通州区,次渠,次渠怡芳园小区,"地铁：距亦庄线,17号线次渠站600米"
80,2110.0,8.0,18877-C,3室1卫,28/29层,朝阳区,北岗子,恒大华府,"地铁：距12号线,平谷线北岗子站700米"
81,3540.0,14.0,28438-D,5室1卫,3/8层,朝阳区,望京西,北京香颂,"地铁：距13号线,15号线望京西站550米"
82,1410.0,10.0,24767-A,3室1卫,6/6层,顺义区,俸伯,港馨家园西区,地铁：距15号线俸伯站3250米
83,4770.0,32.0,49724-A,1室1卫,3/9层,丰台区,公益西桥,三星庄园,地铁：距4号线大兴线公益西桥站1100米
84,5630.0,46.0,18009-A,1室1卫,15/15层,东城区,景泰,华龙美晟,地铁：距14号线东段景泰站500米
85,4690.0,92.0,148494-A,1室1卫,8/20层,通州区,梨园,云景豪庭,地铁：距八通线梨园站600米
86,1380.0,12.0,22931-A,4室1卫,9/10层,顺义区,俸伯,港馨家园东区,地铁：距15号线俸伯站3050米
87,2520.0,12.0,4964-C,5室1卫,7/9层,朝阳区,四惠,通惠家园惠润园,"地铁：距1号线,八通线四惠站650米"
88,2560.0,10.0,132403-C,3室1卫,17/28层,朝阳区,北工大西门,周庄嘉园三期A区,地铁：距14号线东段北工大西门站1150米
89,2020.0,8.0,21490-C,4室1卫,12/26层,丰台区,樊羊路,花香东苑,地铁：距房山线樊羊路站450米
90,1900.0,11.0,32406-B,2室1卫,3/6层,大兴区,黄村西大街,双河南里,地铁：距4号线大兴线黄村西大街站1250米
91,7580.0,51.0,44134-A,1室1卫,12/14层,海淀区,长春桥,蜂鸟社区,"地铁：距10号线,12号线长春桥站650米"
92,5750.0,47.0,69383-A,1室1卫,1/6层,朝阳区,十里堡,石佛营西里,地铁：距6号线十里堡站1150米
93,2740.0,9.0,73392-A,3室1卫,10/24层,朝阳区,东风北桥,梵谷水郡,"地铁：距14号线东段,平谷线东风北桥站1800米"
94,2370.0,9.0,32231-A,3室1卫,8/11层,丰台区,草桥,草桥欣园四区,"地铁：距10号线,大兴机场线草桥站200米"
95,1670.0,12.0,46022-C,3室1卫,4/11层,通州区,通州北关,K2清水湾,地铁：距6号线通州北关站1950米
96,2440.0,10.0,53818-A,2室1卫,3/4层,石景山区,古城,古城南路,地铁：距1号线古城站500米
97,1860.0,17.0,116727-A,3室1卫,5/6层,通州区,九棵树,西营前街,地铁：距6号线北运河西站1900米
98,2650.0,15.0,122093-C,3室1卫,4/21层,丰台区,七里庄,望园东里,"地铁：距9号线,14号线西段七里庄站250米"
99,1850.0,10.0,25613-A,2室1卫,6/6层,通州区,通运门,中仓小区,地铁：距6号线通运门站250米
100,6140.0,35.0,37346-A,1室1卫,1/6层,朝阳区,红庙,光华路,"地铁：距1号线,14号线东段大望路站550米"
101,4840.0,60.0,64648-A,1室1卫,12/20层,朝阳区,管庄,杨闸新村,地铁：距八通线管庄站650米
102,1770.0,10.0,74533-A,4室1卫,4/6层,顺义区,石门,万科四季花城,地铁：距15号线石门站450米
103,6340.0,50.0,134871-A,1室1卫,4/6层,朝阳区,安华桥,德胜门外大街1号院,"地铁：距8号线,12号线安华桥站950米"
104,7300.0,38.0,17120-A,1室1卫,6/12层,朝阳区,青年路,小悦城中心,地铁：距6号线青年路站1350米
105,1110.0,22.0,21205-D,5室1卫,5/5层,房山区,阎村,绿城百合公寓桂雨苑,地铁：距燕房线阎村站1000米
106,2180.0,10.0,32218-A,3室1卫,3/6层,朝阳区,黄渠,常营民族家园CDF区,地铁：距6号线黄渠站750米
107,5010.0,48.0,53079-A,1室1卫,1/6层,朝阳区,黄渠,荟康苑,地铁：距6号线黄渠站800米
108,1800.0,9.0,135866-C,3室1卫,1/7层,通州区,通州北关,永顺东里2号院,地铁：距6号线通州北关站800米
109,2530.0,15.0,45355-C,4室1卫,1/20层,朝阳区,褡裢坡,福盈家园2号院,地铁：距6号线褡裢坡站550米
110,5070.0,51.0,124780-A,1室1卫,1/23层,朝阳区,传媒大学,北花园小区,地铁：距八通线传媒大学站600米
111,2290.0,15.0,29839-B,3室1卫,6/6层,朝阳区,常营,连心园西区,地铁：距6号线常营站800米
112,1930.0,11.0,46461-C,3室1卫,2/6层,通州区,果园,翠屏北里东区,地铁：距八通线果园站400米
113,1930.0,14.0,132454-A,3室1卫,4/6层,通州区,果园,北机家属院,地铁：距八通线果园站900米
114,1710.0,10.0,25041-C,3室1卫,6/30层,通州区,土桥,华远铭悦,地铁：距八通线土桥站950米
115,1660.0,9.0,26559-B,3室1卫,19/29层,通州区,通运门,京贸国际城东区,地铁：距6号线通运门站2400米
116,2150.0,24.0,391-E,7室2卫,6/6层,昌平区,天通苑东,天通苑东二区,地铁：距17号线天通苑东站650米
117,1880.0,9.0,45762-B,3室1卫,3/7层,通州区,果园,达富苑,地铁：距八通线果园站250米
118,2320.0,13.0,64226-D,5室1卫,3/6层,大兴区,亦庄桥,星岛假日,地铁：距亦庄线亦庄桥站200米
119,2080.0,8.0,19279-C,3室1卫,15/25层,丰台区,樊羊路,花香东苑,地铁：距房山线樊羊路站450米
120,1810.0,16.0,22883-A,4室1卫,4/6层,通州区,土桥,小街之春,地铁：距八通线土桥站550米
121,2060.0,10.0,27067-A,3室1卫,26/31层,朝阳区,平房村,金隅汇景苑,"地铁：距14号线东段,平谷线东风北桥站4500米"
122,5370.0,48.0,44011-A,1室1卫,1/16层,朝阳区,传媒大学,北花园小区,地铁：距八通线传媒大学站600米
123,3180.0,23.0,62649-D,4室1卫,24/25层,朝阳区,四惠,力源里,"地铁：距1号线,八通线四惠站250米"
124,2450.0,9.0,133157-B,3室1卫,5/6层,朝阳区,四惠东,康家园,"地铁：距1号线,八通线四惠东站300米"
125,2160.0,13.0,18410-C,4室1卫,1/18层,大兴区,瀛海,南海家园二里,地铁：距亦庄线荣昌东街站3500米
126,2410.0,16.0,68210-A,3室1卫,1/6层,朝阳区,常营,连心园西区,地铁：距6号线常营站800米
127,1460.0,15.0,67964-B,4室1卫,5/6层,顺义区,俸伯,滨河小区,地铁：距15号线俸伯站1600米
128,2200.0,34.0,36659-E,5室1卫,6/7层,昌平区,天通苑东,天通苑东三区,地铁：距5号线天通苑南站2250米
129,1710.0,9.0,146096-B,2室1卫,4/6层,通州区,梨园,葛布店东里,地铁：距八通线梨园站700米
130,1170.0,11.0,25912-B,3室1卫,5/8层,房山区,星城,东亚朗悦居,地铁：距燕房线星城站50米
131,2070.0,11.0,27928-A,4室1卫,5/28层,朝阳区,小红门,鸿博家园二期F区,地铁：距亦庄线小红门站550米
132,4360.0,60.0,47252-A,1室1卫,5/6层,通州区,果园,西总屯,地铁：距八通线果园站550米
133,9120.0,82.0,69566-A,1室1卫,11/22层,朝阳区,望京,望京西园三区,"地铁：距14号线东段,15号线望京站600米"
134,1850.0,11.0,119252-A,2室1卫,2/6层,通州区,临河里,梨园东里,地铁：距八通线临河里站1050米
135,2380.0,20.0,138150-A,4室1卫,4/6层,通州区,通州北关,西潞苑小区,地铁：距6号线通州北关站1950米
136,3820.0,19.0,33925-B,4室1卫,22/22层,朝阳区,望京,望京西园三区,"地铁：距14号线东段,15号线望京站600米"
137,1900.0,11.0,42974-A,5室1卫,23/30层,通州区,九棵树,玉兰湾,地铁：距八通线梨园站900米
138,1540.0,8.0,43928-A,3室1卫,2/6层,通州区,万盛东,群芳三园,地铁：距7号线万盛东站1100米
139,1940.0,8.0,48653-C,4室1卫,4/28层,朝阳区,平房村,金隅汇景苑,"地铁：距14号线东段,平谷线东风北桥站4500米"
140,1760.0,9.0,152302-A,2室1卫,16/23层,通州区,土桥,华远铭悦,地铁：距八通线土桥站950米
141,5930.0,41.0,153116-A,1室1卫,5/15层,西城区,积水潭,五月华庭,"地铁：距2号线,19号线积水潭站500米"
142,1910.0,13.0,29649-A,3室1卫,3/11层,通州区,北运河西,阳光好东东,地铁：距6号线北运河西站1150米
143,3900.0,45.0,48264-A,1室1卫,1/27层,通州区,次渠南,次渠家园东里8区,地铁：距亦庄线次渠南站700米
144,3820.0,21.0,53314-A,2室1卫,22/24层,昌平区,天通苑,天通苑西三区,地铁：距5号线天通苑站350米
145,2340.0,11.0,5767-A,3室1卫,1/9层,朝阳区,星火,姚家园西里2号院,"地铁：距3号线,20号线星火站400米"
146,3240.0,15.0,68830-B,2室1卫,3/8层,朝阳区,星火,金隅凤麟洲,"地铁：距3号线,20号线星火站550米"
147,3080.0,9.0,10422-B,2室1卫,1/5层,朝阳区,金台夕照,呼家楼新街大院,地铁：距10号线金台夕照站600米
148,1870.0,9.0,129114-B,2室1卫,22/26层,通州区,土桥,华远铭悦,地铁：距八通线土桥站950米
149,1600.0,13.0,26998-B,3室1卫,6/6层,通州区,通州北关,潞苑嘉园,地铁：距6号线通州北关站2050米
150,1420.0,12.0,33217-B,5室2卫,6/7层,通州区,通运门,新潮嘉园二期,地铁：距6号线通运门站4150米
151,2450.0,15.0,3407-A,3室1卫,1/6层,朝阳区,草房,连心园东区,地铁：距6号线草房站500米
152,3010.0,11.0,41831-C,3室1卫,1/32层,朝阳区,九龙山,易构空间,"地铁：距7号线,14号线东段九龙山站700米"
153,2370.0,8.0,42949-B,3室1卫,2/16层,丰台区,宋家庄,方泽园,"地铁：距5号线,10号线,亦庄线宋家庄站1050米"
154,5270.0,47.0,63570-A,1室1卫,3/6层,朝阳区,北工大西门,双龙南里,地铁：距14号线东段北工大西门站450米
155,1350.0,13.0,136638-D,4室1卫,8/15层,房山区,良乡大学城西,瑞雪春堂,地铁：距房山线良乡大学城西站900米
156,2390.0,8.0,1549-C,3室1卫,17/24层,朝阳区,十里堡,晨光家园,地铁：距6号线十里堡站550米
157,1970.0,10.0,25456-A,3室1卫,5/13层,朝阳区,东坝中街,北京城建福润四季,地铁：距3号线东坝中街站2800米
158,2210.0,10.0,7026-B,4室1卫,2/18层,朝阳区,草房,保利嘉园1号院,地铁：距6号线草房站950米
159,2030.0,13.0,72942-A,4室1卫,9/13层,丰台区,和义,世界之花,地铁：距亦庄线肖村站2800米
160,1570.0,10.0,75926-A,4室1卫,4/6层,大兴区,黄村西大街,观音寺小区,地铁：距4号线大兴线黄村西大街站1500米
161,2330.0,9.0,151027-A,3室1卫,12/16层,丰台区,宋家庄,方泽园,"地铁：距5号线,10号线,亦庄线宋家庄站1050米"
162,7220.0,78.0,18769-A,2室1卫,16/28层,朝阳区,北苑路北,恒大名都,地铁：距5号线北苑路北站1200米
163,2200.0,9.0,21495-A,3室1卫,20/22层,丰台区,樊羊路,花香东苑,地铁：距房山线樊羊路站450米
164,1960.0,13.0,27608-C,4室1卫,6/6层,通州区,通州北苑,新华西街55号院,地铁：距八通线通州北苑站900米
165,1460.0,10.0,37111-A,3室1卫,5/6层,通州区,通州北关,王家场,地铁：距6号线通州北关站2000米
166,2670.0,10.0,43900-B,2室1卫,1/5层,朝阳区,传媒大学,定福庄西街,地铁：距八通线传媒大学站350米
167,2310.0,13.0,54783-B,3室1卫,1/11层,朝阳区,孙河,康营小区17区,地铁：距15号线孙河站1450米
168,4200.0,54.0,57499-A,1室1卫,12/19层,通州区,物资学院路,金地格林格林,地铁：距6号线物资学院路站2950米
169,1670.0,13.0,135777-C,3室1卫,1/15层,通州区,通州北关,西潞苑小区,地铁：距6号线通州北关站1950米
170,3550.0,14.0,20797-D,5室1卫,11/27层,朝阳区,三元桥,国际港,"地铁：距10号线,12号线,机场线三元桥站300米"
171,2240.0,18.0,21050-D,4室1卫,4/7层,昌平区,天通苑东,天通苑东二区,地铁：距17号线天通苑东站650米
172,1640.0,13.0,22203-C,4室1卫,4/6层,昌平区,天通苑北,蓬莱公寓东区,地铁：距5号线天通苑北站4550米
173,2030.0,12.0,23111-D,4室1卫,1/18层,通州区,次渠南,次渠南里,地铁：距亦庄线次渠南站700米
174,1800.0,19.0,377-B,5室2卫,3/6层,通州区,果园,新华联家园南区,地铁：距八通线果园站650米
175,3640.0,49.0,35966-A,1室1卫,17/21层,丰台区,张郭庄,红山郡,地铁：距14号线西段张郭庄站1750米
176,6960.0,40.0,44907-A,1室1卫,5/6层,朝阳区,潘家园,潘家园小区,地铁：距10号线潘家园站1000米
177,1620.0,8.0,49740-B,3室1卫,4/6层,通州区,果园,后南仓,地铁：距八通线果园站1050米
178,6590.0,42.0,57127-A,1室1卫,16/18层,西城区,木樨地,木樨地北里,地铁：距1号线木樨地站300米
179,2860.0,10.0,1200-B,3室1卫,7/12层,朝阳区,光熙门,西坝河中里,地铁：距13号线光熙门站900米
180,2220.0,21.0,137628-B,2室1卫,1/6层,通州区,通州北苑,北苑15号院,地铁：距八通线通州北苑站700米
181,1870.0,9.0,12412-B,2室1卫,4/6层,朝阳区,八里桥,温泉北里,地铁：距八通线八里桥站1800米
182,1640.0,9.0,144291-B,3室1卫,4/6层,通州区,通运门,河畔丽景,地铁：距6号线通运门站1900米
183,2010.0,15.0,1763-G,8室2卫,6/6层,昌平区,天通苑东,天通苑东二区,地铁：距17号线天通苑东站650米
184,2900.0,9.0,21305-B,2室1卫,3/4层,朝阳区,红庙,延静里中街,"地铁：距6号线,14号线东段金台路站800米"
185,2070.0,8.0,21706-C,3室1卫,26/27层,丰台区,樊羊路,花香东苑,地铁：距房山线樊羊路站450米
186,6410.0,47.0,65199-A,1室1卫,6/6层,海淀区,花园桥,岭南路26号院,地铁：距6号线花园桥站700米
187,2430.0,11.0,78818-A,4室1卫,4/12层,丰台区,方庄,芳星园三区,地铁：距14号线东段方庄站650米
188,1600.0,10.0,140916-B,3室1卫,1/11层,昌平区,昌平东关,随园,地铁：距昌平线昌平东关站1000米
189,2550.0,9.0,16787-D,4室1卫,8/14层,朝阳区,百子湾,沿海赛洛城,地铁：距7号线百子湾站650米
190,1760.0,5.0,27620-C,4室1卫,5/29层,朝阳区,北岗子,恒大华府,"地铁：距12号线,平谷线北岗子站700米"
191,4030.0,50.0,56511-A,1室1卫,9/24层,通州区,通州北苑,鼎晟国际,地铁：距八通线通州北苑站1050米
192,6260.0,43.0,63336-A,1室1卫,1/6层,海淀区,北沙滩,二里庄小区,地铁：距15号线北沙滩站650米
193,2780.0,9.0,67527-B,2室1卫,4/6层,朝阳区,平乐园,平乐园,地铁：距14号线东段平乐园站450米
194,1850.0,14.0,67923-A,2室1卫,1/6层,通州区,土桥,小街之春,地铁：距八通线土桥站550米
195,2500.0,11.0,7554-C,5室1卫,17/31层,朝阳区,传媒大学,珠江绿洲家园,地铁：距八通线传媒大学站550米
196,1840.0,12.0,122025-B,2室1卫,4/6层,通州区,梨园,云景西里,地铁：距八通线梨园站750米
197,2320.0,11.0,33814-B,4室1卫,2/5层,昌平区,回龙观东大街,龙锦苑东五区,地铁：距8号线回龙观东大街站1050米
198,2600.0,7.0,51049-A,3室1卫,4/6层,朝阳区,金台路,秀水园,"地铁：距6号线,14号线东段金台路站450米"
199,1580.0,11.0,57180-B,3室1卫,2/6层,通州区,万盛东,群芳三园,地铁：距7号线万盛东站1100米
200,5280.0,69.0,64684-A,1室1卫,14/14层,丰台区,宋家庄,日新家园,"地铁：距5号线,10号线,亦庄线宋家庄站650米"
201,2550.0,12.0,7554-D,5室1卫,17/31层,朝阳区,传媒大学,珠江绿洲家园,地铁：距八通线传媒大学站550米
202,2220.0,9.0,81279-B,4室1卫,1/21层,丰台区,首经贸,首经贸中街1号院,"地铁：距10号线,房山线首经贸站450米"
203,2210.0,11.0,120069-B,4室1卫,5/21层,石景山区,八宝山,重聚园,地铁：距1号线八宝山站1600米
204,6530.0,36.0,145811-A,1室1卫,4/5层,海淀区,魏公村,民族大学家属院,地铁：距4号线大兴线魏公村站1000米
205,1930.0,8.0,19934-B,4室1卫,10/24层,丰台区,樊羊路,花香东苑,地铁：距房山线樊羊路站450米
206,1410.0,12.0,29858-C,3室1卫,6/6层,房山区,良乡大学城西,鸿顺园西区,地铁：距房山线良乡大学城西站350米
207,5980.0,41.0,48764-A,1室1卫,4/6层,海淀区,军事博物馆,乔建里,"地铁：距1号线,9号线军事博物馆站650米"
208,2180.0,11.0,54253-A,4室1卫,6/6层,通州区,物资学院路,新建村小区,地铁：距6号线物资学院路站550米
209,1650.0,10.0,79776-B,3室1卫,3/6层,通州区,土桥,小街之春,地铁：距八通线土桥站550米
210,2570.0,12.0,13119-A,3室1卫,1/18层,朝阳区,十里堡,石佛营东里,地铁：距6号线十里堡站1400米
211,1540.0,8.0,17342-A,4室1卫,6/6层,顺义区,石门,前进花园石门苑,地铁：距15号线石门站800米
212,1620.0,10.0,27714-B,3室1卫,1/10层,昌平区,南邵,兴昌佳苑,地铁：距昌平线南邵站1000米
213,2470.0,11.0,29075-C,3室1卫,4/14层,朝阳区,褡裢坡,美然动力A2区,地铁：距6号线褡裢坡站350米
214,1980.0,13.0,33020-B,4室1卫,6/6层,朝阳区,小红门,燕归宁馨园,地铁：距亦庄线小红门站1200米
215,2140.0,18.0,39263-A,2室1卫,6/6层,通州区,九棵树,西营前街,地铁：距6号线北运河西站1900米
216,1670.0,7.0,47751-B,4室1卫,19/23层,通州区,梨园,园景东区,地铁：距八通线梨园站150米
217,2830.0,10.0,64888-C,3室1卫,21/28层,朝阳区,劲松,华腾园,地铁：距10号线劲松站450米
218,3940.0,38.0,71627-A,1室1卫,12/18层,丰台区,和义,世界之花,地铁：距亦庄线肖村站2800米
219,8150.0,53.0,123984-A,2室1卫,3/5层,朝阳区,惠新西街南口,惠新里,"地铁：距5号线,10号线惠新西街南口站500米"
220,1730.0,8.0,131096-B,2室1卫,1/6层,通州区,梨园,玉桥南里,地铁：距八通线梨园站1350米
221,2370.0,17.0,18211-A,3室1卫,1/6层,朝阳区,常营,管庄东里,地铁：距6号线常营站700米
222,2740.0,15.0,19383-A,2室1卫,3/4层,朝阳区,常营,连心园西区,地铁：距6号线常营站800米
223,2460.0,12.0,31833-B,5室1卫,5/10层,昌平区,朱辛庄,领秀慧谷C区,"地铁：距昌平线,8号线朱辛庄站900米"
